REF_DATE,GEO,DGUID,Wages,Type of work,National Occupational Classification (NOC),Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,15901.9,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,16292.7,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,15308.1,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,16291.4,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,17042.3,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Total employees, all occupations [00-95]",Both sexes,15 years and over,Persons,249,units,0,v1481403365,1.1.1.1.1.1,17518.4,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,984.9,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1024.7,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1005.6,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1040.8,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1220.1,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403377,1.1.1.2.1.1,1360.6,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Legislative and senior management occupations [00],Both sexes,15 years and over,Persons,249,units,0,v1481403389,1.1.1.3.1.1,53.2,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Legislative and senior management occupations [00],Both sexes,15 years and over,Persons,249,units,0,v1481403389,1.1.1.3.1.1,54,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Legislative and senior management occupations [00],Both sexes,15 years and over,Persons,249,units,0,v1481403389,1.1.1.3.1.1,47.8,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Legislative and senior management occupations [00],Both sexes,15 years and over,Persons,249,units,0,v1481403389,1.1.1.3.1.1,51.3,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Legislative and senior management occupations [00],Both sexes,15 years and over,Persons,249,units,0,v1481403389,1.1.1.3.1.1,50.8,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Legislative and senior management occupations [00],Both sexes,15 years and over,Persons,249,units,0,v1481403389,1.1.1.3.1.1,63,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Specialized middle management occupations [10, 20, 30, 40, 50]",Both sexes,15 years and over,Persons,249,units,0,v1481403401,1.1.1.4.1.1,514.2,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Specialized middle management occupations [10, 20, 30, 40, 50]",Both sexes,15 years and over,Persons,249,units,0,v1481403401,1.1.1.4.1.1,531,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Specialized middle management occupations [10, 20, 30, 40, 50]",Both sexes,15 years and over,Persons,249,units,0,v1481403401,1.1.1.4.1.1,561.6,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Specialized middle management occupations [10, 20, 30, 40, 50]",Both sexes,15 years and over,Persons,249,units,0,v1481403401,1.1.1.4.1.1,567.9,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Specialized middle management occupations [10, 20, 30, 40, 50]",Both sexes,15 years and over,Persons,249,units,0,v1481403401,1.1.1.4.1.1,671.8,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Specialized middle management occupations [10, 20, 30, 40, 50]",Both sexes,15 years and over,Persons,249,units,0,v1481403401,1.1.1.4.1.1,738.3,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Middle management occupations in retail and wholesale trade and customer services [60],Both sexes,15 years and over,Persons,249,units,0,v1481403413,1.1.1.5.1.1,220.3,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Middle management occupations in retail and wholesale trade and customer services [60],Both sexes,15 years and over,Persons,249,units,0,v1481403413,1.1.1.5.1.1,221.8,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Middle management occupations in retail and wholesale trade and customer services [60],Both sexes,15 years and over,Persons,249,units,0,v1481403413,1.1.1.5.1.1,201.2,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Middle management occupations in retail and wholesale trade and customer services [60],Both sexes,15 years and over,Persons,249,units,0,v1481403413,1.1.1.5.1.1,207.9,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Middle management occupations in retail and wholesale trade and customer services [60],Both sexes,15 years and over,Persons,249,units,0,v1481403413,1.1.1.5.1.1,232.8,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Middle management occupations in retail and wholesale trade and customer services [60],Both sexes,15 years and over,Persons,249,units,0,v1481403413,1.1.1.5.1.1,277.1,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403425,1.1.1.6.1.1,197.2,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403425,1.1.1.6.1.1,217.8,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403425,1.1.1.6.1.1,195,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403425,1.1.1.6.1.1,213.7,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403425,1.1.1.6.1.1,264.7,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",Both sexes,15 years and over,Persons,249,units,0,v1481403425,1.1.1.6.1.1,282.2,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Business, finance and administration occupations, except management [11-14]",Both sexes,15 years and over,Persons,249,units,0,v1481403437,1.1.1.7.1.1,2592.4,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Business, finance and administration occupations, except management [11-14]",Both sexes,15 years and over,Persons,249,units,0,v1481403437,1.1.1.7.1.1,2652.3,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Business, finance and administration occupations, except management [11-14]",Both sexes,15 years and over,Persons,249,units,0,v1481403437,1.1.1.7.1.1,2621.8,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Business, finance and administration occupations, except management [11-14]",Both sexes,15 years and over,Persons,249,units,0,v1481403437,1.1.1.7.1.1,2836.1,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Business, finance and administration occupations, except management [11-14]",Both sexes,15 years and over,Persons,249,units,0,v1481403437,1.1.1.7.1.1,2915,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Business, finance and administration occupations, except management [11-14]",Both sexes,15 years and over,Persons,249,units,0,v1481403437,1.1.1.7.1.1,3021.9,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance and business [11],Both sexes,15 years and over,Persons,249,units,0,v1481403449,1.1.1.8.1.1,604.4,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance and business [11],Both sexes,15 years and over,Persons,249,units,0,v1481403449,1.1.1.8.1.1,635.5,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance and business [11],Both sexes,15 years and over,Persons,249,units,0,v1481403449,1.1.1.8.1.1,701.6,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance and business [11],Both sexes,15 years and over,Persons,249,units,0,v1481403449,1.1.1.8.1.1,756.6,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance and business [11],Both sexes,15 years and over,Persons,249,units,0,v1481403449,1.1.1.8.1.1,795.3,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance and business [11],Both sexes,15 years and over,Persons,249,units,0,v1481403449,1.1.1.8.1.1,829.5,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance [111],Both sexes,15 years and over,Persons,249,units,0,v1481403461,1.1.1.9.1.1,333.1,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance [111],Both sexes,15 years and over,Persons,249,units,0,v1481403461,1.1.1.9.1.1,356.1,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance [111],Both sexes,15 years and over,Persons,249,units,0,v1481403461,1.1.1.9.1.1,375.8,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance [111],Both sexes,15 years and over,Persons,249,units,0,v1481403461,1.1.1.9.1.1,387.1,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance [111],Both sexes,15 years and over,Persons,249,units,0,v1481403461,1.1.1.9.1.1,412.4,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in finance [111],Both sexes,15 years and over,Persons,249,units,0,v1481403461,1.1.1.9.1.1,434.3,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in business [112],Both sexes,15 years and over,Persons,249,units,0,v1481403473,1.1.1.10.1.1,271.3,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in business [112],Both sexes,15 years and over,Persons,249,units,0,v1481403473,1.1.1.10.1.1,279.4,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in business [112],Both sexes,15 years and over,Persons,249,units,0,v1481403473,1.1.1.10.1.1,325.8,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in business [112],Both sexes,15 years and over,Persons,249,units,0,v1481403473,1.1.1.10.1.1,369.5,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in business [112],Both sexes,15 years and over,Persons,249,units,0,v1481403473,1.1.1.10.1.1,382.8,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in business [112],Both sexes,15 years and over,Persons,249,units,0,v1481403473,1.1.1.10.1.1,395.2,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial supervisors and specialized administrative occupations [12],Both sexes,15 years and over,Persons,249,units,0,v1481403485,1.1.1.11.1.1,542.9,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial supervisors and specialized administrative occupations [12],Both sexes,15 years and over,Persons,249,units,0,v1481403485,1.1.1.11.1.1,558.4,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial supervisors and specialized administrative occupations [12],Both sexes,15 years and over,Persons,249,units,0,v1481403485,1.1.1.11.1.1,548.9,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial supervisors and specialized administrative occupations [12],Both sexes,15 years and over,Persons,249,units,0,v1481403485,1.1.1.11.1.1,625,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial supervisors and specialized administrative occupations [12],Both sexes,15 years and over,Persons,249,units,0,v1481403485,1.1.1.11.1.1,629.2,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial supervisors and specialized administrative occupations [12],Both sexes,15 years and over,Persons,249,units,0,v1481403485,1.1.1.11.1.1,691.1,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative occupations and transportation logistics occupations [13],Both sexes,15 years and over,Persons,249,units,0,v1481403497,1.1.1.12.1.1,598.6,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative occupations and transportation logistics occupations [13],Both sexes,15 years and over,Persons,249,units,0,v1481403497,1.1.1.12.1.1,652.9,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative occupations and transportation logistics occupations [13],Both sexes,15 years and over,Persons,249,units,0,v1481403497,1.1.1.12.1.1,625.6,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative occupations and transportation logistics occupations [13],Both sexes,15 years and over,Persons,249,units,0,v1481403497,1.1.1.12.1.1,659.8,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative occupations and transportation logistics occupations [13],Both sexes,15 years and over,Persons,249,units,0,v1481403497,1.1.1.12.1.1,725.6,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative occupations and transportation logistics occupations [13],Both sexes,15 years and over,Persons,249,units,0,v1481403497,1.1.1.12.1.1,736,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial support and supply chain logistics occupations [14],Both sexes,15 years and over,Persons,249,units,0,v1481403509,1.1.1.13.1.1,846.5,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial support and supply chain logistics occupations [14],Both sexes,15 years and over,Persons,249,units,0,v1481403509,1.1.1.13.1.1,805.5,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial support and supply chain logistics occupations [14],Both sexes,15 years and over,Persons,249,units,0,v1481403509,1.1.1.13.1.1,745.7,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial support and supply chain logistics occupations [14],Both sexes,15 years and over,Persons,249,units,0,v1481403509,1.1.1.13.1.1,794.6,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial support and supply chain logistics occupations [14],Both sexes,15 years and over,Persons,249,units,0,v1481403509,1.1.1.13.1.1,765,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Administrative and financial support and supply chain logistics occupations [14],Both sexes,15 years and over,Persons,249,units,0,v1481403509,1.1.1.13.1.1,765.2,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 years and over,Persons,249,units,0,v1481403521,1.1.1.14.1.1,1252.4,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 years and over,Persons,249,units,0,v1481403521,1.1.1.14.1.1,1332.7,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 years and over,Persons,249,units,0,v1481403521,1.1.1.14.1.1,1414.9,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 years and over,Persons,249,units,0,v1481403521,1.1.1.14.1.1,1503.1,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 years and over,Persons,249,units,0,v1481403521,1.1.1.14.1.1,1587.4,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 years and over,Persons,249,units,0,v1481403521,1.1.1.14.1.1,1588.1,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural and applied sciences [21],Both sexes,15 years and over,Persons,249,units,0,v1481403533,1.1.1.15.1.1,716.9,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural and applied sciences [21],Both sexes,15 years and over,Persons,249,units,0,v1481403533,1.1.1.15.1.1,806.5,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural and applied sciences [21],Both sexes,15 years and over,Persons,249,units,0,v1481403533,1.1.1.15.1.1,877,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural and applied sciences [21],Both sexes,15 years and over,Persons,249,units,0,v1481403533,1.1.1.15.1.1,983.3,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural and applied sciences [21],Both sexes,15 years and over,Persons,249,units,0,v1481403533,1.1.1.15.1.1,1047.2,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural and applied sciences [21],Both sexes,15 years and over,Persons,249,units,0,v1481403533,1.1.1.15.1.1,1047.7,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural sciences [211],Both sexes,15 years and over,Persons,249,units,0,v1481403545,1.1.1.16.1.1,58.2,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural sciences [211],Both sexes,15 years and over,Persons,249,units,0,v1481403545,1.1.1.16.1.1,69.9,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural sciences [211],Both sexes,15 years and over,Persons,249,units,0,v1481403545,1.1.1.16.1.1,66.9,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural sciences [211],Both sexes,15 years and over,Persons,249,units,0,v1481403545,1.1.1.16.1.1,69.5,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural sciences [211],Both sexes,15 years and over,Persons,249,units,0,v1481403545,1.1.1.16.1.1,73.5,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in natural sciences [211],Both sexes,15 years and over,Persons,249,units,0,v1481403545,1.1.1.16.1.1,75.1,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in applied sciences (except engineering) [212],Both sexes,15 years and over,Persons,249,units,0,v1481403557,1.1.1.17.1.1,452.1,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in applied sciences (except engineering) [212],Both sexes,15 years and over,Persons,249,units,0,v1481403557,1.1.1.17.1.1,517.6,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in applied sciences (except engineering) [212],Both sexes,15 years and over,Persons,249,units,0,v1481403557,1.1.1.17.1.1,596.2,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in applied sciences (except engineering) [212],Both sexes,15 years and over,Persons,249,units,0,v1481403557,1.1.1.17.1.1,663.3,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in applied sciences (except engineering) [212],Both sexes,15 years and over,Persons,249,units,0,v1481403557,1.1.1.17.1.1,714.7,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in applied sciences (except engineering) [212],Both sexes,15 years and over,Persons,249,units,0,v1481403557,1.1.1.17.1.1,706.4,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in engineering [213],Both sexes,15 years and over,Persons,249,units,0,v1481403569,1.1.1.18.1.1,206.6,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in engineering [213],Both sexes,15 years and over,Persons,249,units,0,v1481403569,1.1.1.18.1.1,219,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in engineering [213],Both sexes,15 years and over,Persons,249,units,0,v1481403569,1.1.1.18.1.1,213.9,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in engineering [213],Both sexes,15 years and over,Persons,249,units,0,v1481403569,1.1.1.18.1.1,250.5,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in engineering [213],Both sexes,15 years and over,Persons,249,units,0,v1481403569,1.1.1.18.1.1,259.1,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Professional occupations in engineering [213],Both sexes,15 years and over,Persons,249,units,0,v1481403569,1.1.1.18.1.1,266.3,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Technical occupations related to natural and applied sciences [22],Both sexes,15 years and over,Persons,249,units,0,v1481403581,1.1.1.19.1.1,535.5,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Technical occupations related to natural and applied sciences [22],Both sexes,15 years and over,Persons,249,units,0,v1481403581,1.1.1.19.1.1,526.1,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Technical occupations related to natural and applied sciences [22],Both sexes,15 years and over,Persons,249,units,0,v1481403581,1.1.1.19.1.1,537.9,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Technical occupations related to natural and applied sciences [22],Both sexes,15 years and over,Persons,249,units,0,v1481403581,1.1.1.19.1.1,519.8,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Technical occupations related to natural and applied sciences [22],Both sexes,15 years and over,Persons,249,units,0,v1481403581,1.1.1.19.1.1,540.2,,,,1
2023,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,Technical occupations related to natural and applied sciences [22],Both sexes,15 years and over,Persons,249,units,0,v1481403581,1.1.1.19.1.1,540.4,,,,1
2018,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Health occupations, except management [31-33]",Both sexes,15 years and over,Persons,249,units,0,v1481403593,1.1.1.20.1.1,1198.9,,,,1
2019,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Health occupations, except management [31-33]",Both sexes,15 years and over,Persons,249,units,0,v1481403593,1.1.1.20.1.1,1218.6,,,,1
2020,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Health occupations, except management [31-33]",Both sexes,15 years and over,Persons,249,units,0,v1481403593,1.1.1.20.1.1,1194.1,,,,1
2021,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Health occupations, except management [31-33]",Both sexes,15 years and over,Persons,249,units,0,v1481403593,1.1.1.20.1.1,1293.2,,,,1
2022,Canada,2016A000011124,"Total employees, all wages",Both full- and part-time employees,"Health occupations, except management [31-33]",Both sexes,15 years and over,Persons,249,units,0,v1481403593,1.1.1.20.1.1,1347.8,,,,1
